Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x )
Jose Vasconcelos Viana,josevasconcelosviana,N/A,2023-01-07 18:34:41 EST,2023-01-07,18:34:41,Photo,154,146,8,0,false,https://www.instagram.com/p/CnIfASss1Y4/,https://www.instagram.com/p/CnIfASss1Y4/,,,"VOCÊ VAI DE QUAL REGIÃO DO BRASIL?
.
.
.
.
.
.
.
.
.
.
.

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso",José Vasconcelos Viana @va.... 2min Amanhã Brasília vai estar linda. Verde e amarela! Mais um dia que vai entrar para a história da luta de um povo que clama por liberdade e democracia. #LulaLadraoSeuLugarENaPrisao ×,,,-1.68
WESLEY ROS,wesleyros,281892,2023-01-07 18:27:19 EST,2023-01-07,18:27:19,Photo,"13,084",12768,316,0,false,https://www.instagram.com/p/CnIeKQuJY6G/,https://www.instagram.com/p/CnIeKQuJY6G/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324231195_193761939876626_6289972150137003398_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=DFCmvE1J5GQAX95JnPF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDkXX6TG38HJp67NRubvLiGDxuqiddjHT1rVJr8Omambw&oe=64955E03,,Alguém arrisca explicar???? 🤷🏾‍♂️,Alguém sabe explicar??? Eleitores do lula podem andar armados Do Bolsonaro NÃO!! Siga @wesleyros,,,3.07
SARGENTO RODRIGUES,sargentorodriguesoficial,22983,2023-01-07 12:00:10 EST,2023-01-07,12:00:10,Photo,364,155,209,0,false,https://www.instagram.com/p/CnHx2oXMFgC/,https://www.instagram.com/p/CnHx2oXMFgC/,https://scontent-sea1-1.cdninstagram.com/v/t39.30808-6/323784574_2490430421112742_5649847290675662668_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=5B2cgP4szzwAX-4JTM2&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfD1QlcrGZdIgTijrHJ5kDt_lG55Hwp2pZJRfhGJ5Tb5ow&oe=649483F4,,"Em 2022 apresentamos muitos requerimentos e projetos, sempre pensando nos servidores da segurança pública e nos cidadãos mineiros. Assim como em 2022, também acontece nos demais anos. Veja os números!",ATIVIDADE PARLAMENTAR 2022 THK LEIS SANCIONADAS 2 6 PROJETOS EM TRAMITAÇÃO 277 REQUERIMENTOS APRESENTADOS R ODRIGUES SARG SARGENTO DEPUTADOESTADUAL,,,1.1
Josafá Ramos,josafarramos,N/A,2023-01-07 08:16:10 EST,2023-01-07,08:16:10,Photo,124,87,37,0,false,https://www.instagram.com/p/CnHYOGFusu3/,https://www.instagram.com/p/CnHYOGFusu3/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324217331_683396283424629_3204196824129840451_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ZYKTtqYDq0kAX_DVloz&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBJZwQP_yGgPx3QX49KpfbpfJufsU-EDTTmQOF7BD34MQ&oe=64958771,,Da sacada QG…,"Só prá lemlbrar. ""UM BOM CIDADÃO não aceita ladrão na frente da Nação!""",,,2
Josafá Ramos,josafarramos,N/A,2023-01-06 19:48:56 EST,2023-01-06,19:48:56,Photo,79,65,14,0,false,https://www.instagram.com/p/CnGCtMBOWEe/,https://www.instagram.com/p/CnGCtMBOWEe/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/322699512_156122983842706_1855316303535844341_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ABSr4hKboSwAX_etLby&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBeJ5Z4Zft_0jub0bTZLMWDFc8wZtoc_kMUbAcNNIw4TA&oe=64951E8F,,"Registro do ano passado, @mulheres_patriotasro … Você passou pelos baianos deixando marca forte desse fenômeno verde-amarelo, que tanto nos aproxima por afinidades #patriotas #sosforcasarmadassalvemobrasil com @luissilva12144",,,,1.03
Jose Vasconcelos Viana,josevasconcelosviana,N/A,2023-01-06 18:29:11 EST,2023-01-06,18:29:11,Photo,198,170,28,0,false,https://www.instagram.com/p/CnF5lJzsgry/,https://www.instagram.com/p/CnF5lJzsgry/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323895073_3406694856266819_5432913306391736865_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=K_ZQ3rCttuYAX9UHHCN&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCFRbm1T72KgUPCVyayCYHmQscyh2Ef6M3zcEiC5agNvg&oe=64954028,,"COMO ASSIM?
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso.","POLÍTICA 13 RACISMO? AO FALAR EM DIVERSIDADE, SIMONE TEBET DIZ QUE É ""DIFÍCIL"" CONTRATAR MULHERES PRETAS PORTAL JVV NOTÍCIAS SIGA @JVVNEWS NAS REDES SOCIAIS. ACESSE WWW.JVVNEWS.COM.BR",,,-1.36
Dayane Muhammad,daymuhammad,N/A,2023-01-06 18:23:42 EST,2023-01-06,18:23:42,Album,907,859,48,0,false,https://www.instagram.com/p/CnF486SJ8zU/,https://www.instagram.com/p/CnF486SJ8zU/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323754496_547277200776711_7518143846971583387_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=AScsF4G1a8EAX9JlEvL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB7QcyWLupORUgDjft6DEGSl8AjPGxG7_-Clb9qn6ixUA&oe=64968447,,"Essa São Silvestre foi um milagre 🙌🏻!

Sem treino, sem preparo, só na mente e por Deus mesmo!

Foi a minha segunda São Silvestre e minha segunda corrida na vida! Pra ver como nada é impossível 🇧🇷💚

Quem viu as lives que eu fiz durante a corrida? Me conta! 👇🏻

Ainda tem algumas aqui no feed! 🇧🇷",,,,4.77
Jose Vasconcelos Viana,josevasconcelosviana,N/A,2023-01-06 15:13:51 EST,2023-01-06,15:13:51,Photo,87,80,7,0,false,https://www.instagram.com/p/CnFjOfsp5EH/,https://www.instagram.com/p/CnFjOfsp5EH/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323792811_879114583132586_7687764411899058832_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=lrZGn5xnricAX-4xYRF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC5VIQ_eeg3AFtQx5Q0eBOso7y7K1zTeDRlkbroIDsiVw&oe=64956FB0,,"Saudades da @michellebolsonaro 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso","GUUTE José Vasconcelos Viana @va... ·1mn 1mi Tudo incomoda a dona Janja, menos os casos de corrupção que envolvem o próprio marido. 山 #LulaLadraoSeuLugarENaPrisao ×",,,-3.92
Josafá Ramos,josafarramos,N/A,2023-01-06 12:20:54 EST,2023-01-06,12:20:54,Video,44,35,9,1326,false,https://www.instagram.com/tv/CnFPAsrjokA/,https://www.instagram.com/tv/CnFPAsrjokA/,https://scontent-sea1-1.cdninstagram.com/v/t51.36329-15/323696927_3433972900214247_7554101657251387127_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=C2xNgzqUTGcAX91mXo7&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAtKkipAF8zs2Bm-uC3PexmIfRSemmKNXWSor6Ngb67bw&oe=64941F28,,Srª Hilda uma das referências do QG e SOS Forças Armadas.,,,,1.13
Núbia Modista,nubiamodista,N/A,2023-01-06 09:59:16 EST,2023-01-06,09:59:16,Photo,31,12,19,0,false,https://www.instagram.com/p/CnE_Oaeu_CX/,https://www.instagram.com/p/CnE_Oaeu_CX/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323697513_742858666785176_1830174833564701088_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=x4zpRiyqGEcAX9OQovs&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAYf8sYBNa5Qt2azD-7zpgMR38oV3P_41JuSDeG1u7PqQ&oe=649505B8,,"Feliz aniversário meu bebê milagre 🎂
Tia te amaaaa",,,,-3.35
SARGENTO RODRIGUES,sargentorodriguesoficial,22986,2023-01-06 07:31:00 EST,2023-01-06,07:31:00,Photo,722,473,249,0,false,https://www.instagram.com/p/CnEuQcdLXmA/,https://www.instagram.com/p/CnEuQcdLXmA/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324160659_498533655699147_995977964022588594_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Ww7ifbHTVzcAX8DoObf&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC0FeDEUwf3oav62e1br_02czOu_BZllFS3kFMW1trmlA&oe=6494DBB2,,Não há como comparar!,NENHUM PROCESSO 1.890 1 PROCESSOS SOS,,,2.19
André da Maria Gorda,andremariagorda,364008,2023-01-05 21:34:23 EST,2023-01-05,21:34:23,Photo,42,0,42,0,true,https://www.instagram.com/p/CnDp-qNtnuy/,https://www.instagram.com/p/CnDp-qNtnuy/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323577139_1276435069944019_6123925189862096188_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=bRCRgPDpUrEAX9EvehL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBL49CpdNuqIbWoq-gSPcOWmShueQmipY6-GFOJg00ZZA&oe=6496FAF2,,"Boa noite!!!
🇧🇷 Brasil 🇧🇷 Brasil 🇧🇷",,,,-1.5
João Salas,oficialjoaosalas,N/A,2023-01-05 14:15:50 EST,2023-01-05,14:15:50,Photo,99,70,29,0,false,https://www.instagram.com/p/CnC3yrUpNf-/,https://www.instagram.com/p/CnC3yrUpNf-/,,,"Me segue lá no @gettrofficial @gettrbrasiloficial 
.
.
#liberdade #gettr #brasil #minhabrasilia #brasilia",GETTR ME SEGUE LA @JOAOSALAS SALAGO JOÃO SALAS,,,-20.24
Jose Vasconcelos Viana,josevasconcelosviana,N/A,2023-01-05 11:57:03 EST,2023-01-05,11:57:03,Photo,378,364,14,0,false,https://www.instagram.com/p/CnCn6LbOLJz/,https://www.instagram.com/p/CnCn6LbOLJz/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323521002_1363150881164035_2586988938222420937_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Mp_1b3gjecAAX9aHo9L&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCem1GLXQ0np23qjiG8uI63AXMpLINa62rKPnO-yejzcA&oe=64944447,,"GOVERNO CORRUPTO!
.
.

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso",NENHUM PROCESSO 1.890 PROCESSOS,,,1.11
Serginho Agrella,serginhoagrella,N/A,2023-01-05 11:54:19 EST,2023-01-05,11:54:19,Photo,87,58,29,0,false,https://www.instagram.com/p/CnCnmL4L3de/,https://www.instagram.com/p/CnCnmL4L3de/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323805615_852542115960268_4888779293973359778_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Lg5xVNyMhsAAX-wPQMT&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCx4Lvfl3HPHTtIlb8OMeKHMyuJFl2jAEbx0CCRZ85d_A&oe=6495928F,,Novo Senado indo Para cima do Molusco!,,,,3.22
SARGENTO RODRIGUES,sargentorodriguesoficial,22982,2023-01-05 10:36:17 EST,2023-01-05,10:36:17,Photo,685,598,87,0,false,https://www.instagram.com/p/CnCeqnHLTJP/,https://www.instagram.com/p/CnCeqnHLTJP/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324062281_698107665017572_2444463168604872712_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=mHp-DUVhbfkAX9UUgyM&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBIZPRtyZh1QC-P2EThMo_-BP2oS2w3TNu2m9pL6InJWg&oe=64942B60,,"#tbt da minha formatura do Curso de Formação de Cabo (CFC), em 1988. Passaram-se muitos anos, mas as lembranças permanecem vivas na minha memória 💙🚔",,,,2.08
WESLEY ROS,wesleyros,280800,2023-01-05 10:14:50 EST,2023-01-05,10:14:50,Photo,"28,128",27317,811,0,false,https://www.instagram.com/p/CnCcNcur1Ub/,https://www.instagram.com/p/CnCcNcur1Ub/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323747766_711164200399476_3965292729858541157_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=MVDMyTv6QzMAX-2r-eO&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDkW66pjGtQWzxW6-TWx_7blL2OBGwTQcnomLsjOIVAXA&oe=6494A8B8,,"Ta aí… PEGUE UMA CALCULADORA, pesquise no Google cada ministro, somem os processos e você mesmo cairá pra traz quando ver o resultado 🤷🏾‍♂️

FAiSZZUÉLI 😈",BRASIL DE BOLSONARO NENHUM PROCESSO BRASIL DE LULA 1 890 PROCESSOS PROCES,,,6.61
Jose Vasconcelos Viana,josevasconcelosviana,N/A,2023-01-05 06:33:37 EST,2023-01-05,06:33:37,Photo,325,292,33,0,false,https://www.instagram.com/p/CnCC5PHOA-t/,https://www.instagram.com/p/CnCC5PHOA-t/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323794223_730327738810068_4987985106944734750_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=_7mdXeRL7aoAX-P9FKx&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCNkd3ajiP5m1UgzJbdLozz1o6Olkb1PaOKZGqufhFxrA&oe=6494C500,,"EU AVISEI!

SIGA @jvvnews
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso","POLÍTICA OPINIÃO JVV ""O GOVERNO DO EX-PRESIDIÁRIO LULA JÁ ENFRENTA SEUS PRIMEIROS MOMENTOS DE CRISE POR CONTA DA INCAPACIDADE TÉCNICA DOS ESCOLHIDOS. NÃO FOI POR FALTA DE AVISO"" PORTAL JVV NOTÍCIAS SIGA @JVVNEWS NAS REDES SOCIAIS. ACESSE WWW.JVVNEWS.COM.BR",,,-1.05
Serginho Agrella,serginhoagrella,N/A,2023-01-04 16:44:25 EST,2023-01-04,16:44:25,Photo,23,16,7,0,false,https://www.instagram.com/p/CnAj_9ruJeY/,https://www.instagram.com/p/CnAj_9ruJeY/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323833844_1687583254991608_1289308200117237776_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=a-dkAWYnxDQAX_Ziof1&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCVehPXATK9zGQ4u49IZ_-CXIENUCDeEIeBWo9DJlI2fw&oe=64944B3E,,"Nunca respeitaram nossa Bandeira, muito menos as cores dela, os Isentões estão felizes?",,,,-1.17
